NR_conventional_hydroelectric,NER_conventional_hydroelectric,WR_conventional_hydroelectric,ER_conventional_hydroelectric,SR_conventional_hydroelectric
0.305415793,0.578611892,0.138786964,0.138786964,0.138786964
0.305639232,0.578724316,0.138814257,0.138814257,0.138814257
0.305842435,0.578806192,0.138841244,0.138841244,0.138841244
0.30605716,0.578885841,0.138867239,0.138867239,0.138867239
0.306267314,0.578969361,0.138894226,0.138894226,0.138894226
0.306490753,0.579063626,0.138896351,0.138896351,0.138896351
0.30669571,0.57911335,0.138922346,0.138922346,0.138922346
0.30690868,0.579226795,0.138949333,0.138949333,0.138949333
0.307122352,0.579300385,0.138976626,0.138976626,0.138976626
0.307337033,0.579381056,0.138973345,0.138973345,0.138973345
0.30754028,0.579463554,0.139000638,0.139000638,0.139000638
0.30775496,0.579575356,0.139027931,0.139027931,0.139027931
0.307968632,0.579652029,0.139054918,0.139054918,0.139054918
0.308188553,0.579737878,0.139051943,0.139051943,0.139051943
0.308393511,0.579818733,0.139046118,0.139046118,0.139046118
0.308606481,0.579910109,0.139073411,0.139073411,0.139073411
0.308820152,0.579965011,0.139099406,0.139099406,0.139099406
0.309034833,0.580069548,0.139097423,0.139097423,0.139097423
0.30923808,0.580147865,0.139124716,0.139124716,0.139124716
0.309437003,0.580232071,0.139150405,0.139150405,0.139150405
0.309666432,0.580342851,0.139177698,0.139177698,0.139177698
0.30985493,0.580422836,0.139176021,0.139176021,0.139176021
0.310091311,0.580533616,0.139170196,0.139170196,0.139170196
0.310288523,0.580587896,0.139196191,0.139196191,0.139196191
0.310517953,0.580679248,0.139223178,0.139223178,0.139223178
0.310708161,0.58075386,0.139221501,0.139221501,0.139221501
0.310944595,0.580837044,0.139247496,0.139247496,0.139247496
0.311134803,0.580917029,0.139274483,0.139274483,0.139274483
0.311349528,0.581027809,0.139301776,0.139301776,0.139301776
0.311552731,0.581072816,0.139298495,0.139298495,0.139298495
0.31177617,0.581190332,0.139325788,0.139325788,0.139325788
0.311986324,0.581272208,0.139320269,0.139320269,0.139320269
0.312201049,0.581346119,0.139347256,0.139347256,0.139347256
0.312405962,0.581428112,0.139373252,0.139373252,0.139373252
0.312627691,0.581523023,0.139371268,0.139371268,0.139371268
0.312832604,0.581594605,0.139398561,0.139398561,0.139398561
0.313047329,0.581685546,0.139424556,0.139424556,0.139424556
0.313259246,0.581766401,0.139451544,0.139451544,0.139451544
0.313473971,0.58186893,0.139449866,0.139449866,0.139449866
0.313678884,0.581959495,0.139442743,0.139442743,0.139442743
0.313898849,0.582041371,0.139470037,0.139470037,0.139470037
0.314112477,0.582142879,0.13949733,0.13949733,0.13949733
0.314325491,0.582196629,0.139494048,0.139494048,0.139494048
0.314530404,0.582290519,0.139521341,0.139521341,0.139521341
0.314753843,0.582364766,0.139584942,0.139584942,0.139584942
0.314957046,0.582481284,0.139612235,0.139612235,0.139612235
0.315171771,0.582535564,0.13960926,0.13960926,0.13960926
0.315376684,0.582638715,0.139636247,0.139636247,0.139636247
0.315598413,0.582725683,0.139630728,0.139630728,0.139630728
0.315810277,0.582808867,0.139656418,0.139656418,0.139656418
0.316023292,0.582875849,0.13965474,0.13965474,0.13965474
0.316228205,0.582992367,0.139682033,0.139682033,0.139682033
0.316427172,0.583029757,0.139707722,0.139707722,0.139707722
0.316654847,0.583132907,0.139735015,0.139735015,0.139735015
0.316845099,0.583219876,0.139733032,0.139733032,0.139733032
0.317083199,0.583321383,0.139760325,0.139760325,0.139760325
0.317271741,0.583377306,0.139753509,0.139753509,0.139753509
